order_id,gmv,profit,quantity,category,sub_category,cost,total_gmv,total_cost,total_profit,order_date,customer_name,city,country,region,segment,ship_date,ship_mode,lon,lat
AZ-2014-1861968,232,85,3,Office Supplies,Appliances,147,696,147,255,2014-05-07,Mark Westfall,Pau,France,Central,Consumer,2014-05-11,Economy,-0.370797,43.2951
AZ-2014-9111832,44,14,3,Office Supplies,Binders,30,132,30,42,2014-09-29,Eva Butler,Peer,Belgium,Central,Corporate,2014-10-03,Economy,5.4536,51.1329
AZ-2013-1069052,136,29,2,Technology,Phones,107,272,107,58,2013-03-01,Katherine Grant,Auch,France,Central,Consumer,2013-03-07,Economy,0.586709,43.64638
AZ-2013-1069052,121,55,12,Office Supplies,Binders,66,1452,66,660,2013-03-01,Katherine Grant,Auch,France,Central,Consumer,2013-03-07,Economy,0.586709,43.64638
AZ-2013-1069052,59,24,2,Office Supplies,Supplies,35,118,35,48,2013-03-01,Katherine Grant,Auch,France,Central,Consumer,2013-03-07,Economy,0.586709,43.64638
AZ-2011-3714764,72,14,3,Office Supplies,Art,58,216,58,42,2011-03-11,Ashton Charles,Pessac,France,Central,Consumer,2011-03-15,Economy,-0.630386,44.80583
AZ-2012-1672161,24,5,2,Office Supplies,Labels,19,48,19,10,2012-06-21,Leah Derham,Pessac,France,Central,Consumer,2012-06-25,Economy,-0.630386,44.80583
AZ-2012-1672161,49,8,1,Office Supplies,Storage,41,49,41,8,2012-06-21,Leah Derham,Pessac,France,Central,Consumer,2012-06-25,Economy,-0.630386,44.80583
AZ-2014-1517512,46,20,5,Office Supplies,Labels,26,230,26,100,2014-01-06,Bryce Efird,Pessac,France,Central,Corporate,2014-01-10,Economy,-0.630386,44.80583
AZ-2013-2961520,344,148,7,Office Supplies,Binders,196,2408,196,1036,2013-03-15,Kai Leonard,Pessac,France,Central,Corporate,2013-03-21,Economy,-0.630386,44.80583
AZ-2014-8465996,202,89,9,Office Supplies,Paper,113,1818,113,801,2014-11-07,Dylan Dry,Novara,Italy,South,Consumer,2014-11-11,Economy,8.6221612,45.44693
BN-2011-5132700,39,0,6,Office Supplies,Labels,39,234,39,0,2011-10-03,Walter Aguilar,Novara,Italy,South,Consumer,2011-10-09,Economy,8.6221612,45.44693
BN-2011-5132700,21,11,3,Office Supplies,Binders,10,63,10,33,2011-10-03,Walter Aguilar,Novara,Italy,South,Consumer,2011-10-09,Economy,8.6221612,45.44693
